race_date,strava_id,race_name,distance_category,race_city,race_region_code,overall_place,overall_field_size,gender_place,gender_field_size,division_place,division_field_size,pace_seconds_per_mile,finish_duration_seconds,bib_number
2026-06-13,18914914619,Frederick Summer Solstice 8K,8K,Walkersville,MD,43,436,39,215,5,30,431,2144,1322
2024-06-15,13906983211,Frederick Summer Solstice 8K,8K,Frederick,MD,45,386,35,170,4,20,451,2243,1230
2024-05-05,13906983375,2024 Frederick Running Festival,HALF_MARATHON,Frederick,MD,308,2452,265,1278,40,199,482,6316,4359
2023-05-07,13906972540,2023 Frederick Running Festival,HALF_MARATHON,Frederick,MD,337,2374,264,1168,47,184,492,6450,3054
2022-05-01,13906964838,2022 Frederick Running Festival,HALF_MARATHON,Frederick,MD,492,2564,367,1213,63,184,512,6719,3127
2020-10-11,4180666207,Army Ten Miler,10_MILE,Washington,DC,1075,15194,945,8955,160,1550,469,4695,
2019-05-05,2343886168,2019 Frederick Running Festival,HALF_MARATHON,Frederick,MD,242,3532,199,1620,37,274,476,6237,4088
2018-10-20,1916644308,Baltimore Running Festival,HALF_MARATHON,Baltimore,MD,285,6572,223,2823,52,523,462,6059,10369
2017-10-29,13906967866,End of the Road Marathon,HALF_MARATHON,Waterfall,PA,5,221,5,88,1,7,446,5849,876
2017-05-07,13906975744,2017 Frederick Running Festival,HALF_MARATHON,Frederick,MD,123,3866,101,1576,25,221,439,5753,2873
2016-12-10,811920474,2016 Tucson Marathon,MARATHON,Tucson,AZ,53,597,45,348,6,42,459,12045,311
2016-11-24,784278495,Way Station's Turkey Trot 5K,5K,Frederick,MD,57,3131,51,1336,6,105,384,1195,1319
2016-10-01,730943315,Freedom's Run,HALF_MARATHON,Shepherdstown,WV,18,682,14,321,7,81,432,5670,1363
2016-05-08,569574753,Frederick Running Festival,HALF_MARATHON,Frederick,MD,115,3620,99,1555,26,239,438,5743,1962
2015-10-11,410967551,Chicago Marathon,MARATHON,Chicago,IL,1810,37395,1580,20171,363,3266,438,11497,6150
2015-08-30,380834186,Annapolis Ten Mile Run,10_MILE,Annapolis,MD,52,3500,48,1694,12,141,399,3990,1951
2015-03-22,272408218,Yuengling Shamrock Marathon,MARATHON,Virginia Beach,VA,95,2185,82,1239,23,163,441,11555,134
2014-11-23,222463376,Zoo Zoom 8K,8K,Baltimore,MD,9,1068,8,348,2,130,389,1938,1217
2014-11-09,219080670,Across the Bay 10K,10K,Annapolis,MD,7998,14959,3469,5277,486,691,662,4114,157
2014-11-02,222678070,TCS New York City Marathon,MARATHON,New York City,NY,5831,50386,4894,29992,864,4137,496,12996,3371
2014-09-06,199745916,Bird In Hand Half Marathon,HALF_MARATHON,Lampeter,PA,24,1448,23,605,4,76,431,5652,261
2014-05-04,199760727,Blue Cross Broad Street Run,10_MILE,Philadelphia,PA,321,35166,288,15782,52,2749,381,3813,607
2014-03-01,199767822,Phoenix Marathon,MARATHON,Mesa,AZ,45,1826,43,1033,8,129,421,11039,8010
2013-11-17,199781227,Potomac River Run Marathon,MARATHON,Carderock,MD,9,210,9,132,2,9,439,11519,1121
2013-09-14,199789540,Abebe Bikila Day International Peace Marathon & Half Marathon,HALF_MARATHON,Washington,DC,3,174,3,78,2,19,390,5117,657
2013-08-17,199794369,Feed Annapolis 5 mile,5_MILE,Annapolis,MD,10,197,8,98,2,11,371,1858,73
2013-05-19,199808480,Run for the Red Marathon 2013,MARATHON,Stroudsburg,PA,44,520,41,324,6,26,445,11671,321
2013-04-20,199811858,Ozarks Medical Center 5K,5K,West Plains,MO,2,256,2,85,1,14,365,1137,703
